LEMMA	WORD_FORM	CHAR_NUMBER	ASPECT	DEFAULT	SYNT-WITH-ADJUNCTS
al	alınırmış	9	Imp	1	obl
al	alabilirdim	11	Imp	1	obj_obl
al	alırız	6	Imp	1	obj_obl
al	alırlar	7	Imp	1	obl
al	alır	4	Imp	1	obl
al	alırdı	6	Imp	1	nsubj_obj_obl
al	alır	4	Imp	1	nsubj_obj_obl_obl
al	alır	4	Imp	1	obj_obl
al	alırız	6	Imp	1	obj_obl_obl
al	alabilir	8	Imp	1	aux:q_obj
al	alırken	7	Imp	1	obj
al	alabiliriz	10	Imp	1	obj
al	alır	4	Imp	1	advmod_obj
al	alırlardı	9	Imp	1	obj
al	alabilir	8	Imp	1	nsubj_obl
al	almaya	6	Perf	0	obj
al	alacağımız	10	Perf	0	obj
al	alınması	8	Perf	0	nmod:poss_obl
al	alan	4	Perf	0	obj
al	alabileceklerini	16	Perf	0	advmod_nmod:poss_obj_obl
al	almama	6	Perf	0	obj
al	aldığı	6	Perf	0	obl
al	almış	5	Perf	0	compound:lvc
al	aldı	4	Perf	0	obj
al	alabilen	8	Perf	0	obj
al	aldım	5	Perf	0	nsubj_obj_obj
al	aldık	5	Perf	0	obj_obl
al	aldım	5	Perf	0	obj
al	aldık	5	Perf	0	advmod:emph_obj_obl
al	almalı	6	Perf	0	obj_obl
al	aldırmadık	10	Perf	0	obl
al	aldığını	8	Perf	0	nsubj_obj
al	alarak	6	Perf	0	obl
al	alıp	4	Perf	0	obj
al	aldı	4	Perf	0	nsubj_obj_obl
al	al	2	Perf	0	advmod
al	alacağını	9	Perf	0	obj
al	aldı	4	Perf	0	obj
al	aldılar	7	Perf	0	nsubj_obj_obl
al	aldı	4	Perf	0	nsubj_obj
al	alın	4	Perf	0	advmod_nsubj_obj
al	aldığı	6	Perf	0	nmod:poss_obl
al	aldık	5	Perf	0	obj_obl
al	almak	5	Perf	0	obj
al	almamız	7	Perf	0	obj
al	alalım	6	Perf	0	advmod_obl
al	alınsın	7	Perf	0	nsubj_obl
al	almışız	7	Perf	0	nsubj_obl
al	aldı	4	Perf	0	nsubj_obj_obl
al	alsın	5	Perf	0	advmod
al	aldı	4	Perf	0	nsubj_obj
al	alınmamasının	13	Perf	0	obj_obl
al	aldığını	8	Perf	0	nmod:poss_obj
al	alınma	6	Perf	0	obl
al	alınmalıdırlar	14	Perf	0	obj
al	aldı	4	Perf	0	obj
al	alan	4	Perf	0	obj
al	alarak	6	Perf	0	nsubj_obj_obl
al	aldığınız	9	Perf	0	obl
al	alacağımı	9	Perf	0	obj_obl
al	alacak	6	Perf	0	nsubj_obj_obl
al	almak	5	Perf	0	obj
al	aldı	4	Perf	0	obj
al	alabileceklerini	16	Perf	0	obj
al	alıp	4	Perf	0	obl_obl
al	aldım	5	Perf	0	nsubj_obj
al	alacak	6	Perf	0	nsubj
al	almak	5	Perf	0	obj_obl_obl
al	aldırdığı	9	Perf	0	nmod:poss_obl
al	aldılar	7	Perf	0	obj_obl
al	alarak	6	Perf	0	nsubj_obj
al	alınacağı	9	Perf	0	obj
al	alabilecek	10	Perf	0	obj
al	alındı	6	Perf	0	ccomp
al	alınmasını	10	Perf	0	nsubj
al	aldı	4	Perf	0	advmod_obj_obl
al	aldın	5	Perf	0	obj
al	aldı	4	Perf	0	obj
al	aldık	5	Perf	0	obj_obl
al	alan	4	Perf	0	obj
al	alınsın	7	Perf	0	nsubj_obl
al	aldı	4	Perf	0	obj
al	alıp	4	Perf	0	obj
al	almanın	7	Perf	0	advmod:emph_obj_obl
al	al	2	Perf	0	aux:q_obj
al	alınmayan	9	Perf	0	obl
al	alan	4	Perf	0	obj_obl
al	aldım	5	Perf	0	obj
al	al	2	Perf	0	advmod_obl
al	alan	4	Perf	0	obj
al	alan	4	Perf	0	obj
al	almış	5	Perf	0	obj_obl
al	aldılar	7	Perf	0	obj_obl
al	almıştı	7	Perf	0	obj_obl
al	aldı	4	Perf	0	obj_obl
al	al	2	Perf	0	obj_obl
al	alma	4	Perf	0	obj
al	almak	5	Perf	0	obj_obl
al	alsaydı	7	Perf	0	advmod_nsubj
al	aldığını	8	Perf	0	nsubj_obj
al	almaya	6	Perf	0	obj_obl
al	aldı	4	Perf	0	obj
al	almak	5	Perf	0	obj
al	almak	5	Perf	0	obj
al	alalım	6	Perf	0	advmod_obj
al	aldı	4	Perf	0	obj
al	aldı	4	Perf	0	obj
al	almış	5	Perf	0	obj
al	aldı	4	Perf	0	obj_obl
al	aldım	5	Perf	0	obj
al	alınca	6	Perf	0	obj
al	alınması	8	Perf	0	nmod:poss_obl_obl
al	aldığımız	9	Perf	0	obl
al	alınması	8	Perf	0	nmod:poss_obl_obl_obl
al	alabilen	8	Perf	0	obj
al	almaya	6	Perf	0	obj_obl
al	alıp	4	Perf	0	nsubj
al	alınmış	7	Perf	0	obj
al	alarak	6	Perf	0	obj_obl
al	alacağı	7	Perf	0	nsubj_obl
al	alınması	8	Perf	0	nmod:poss_obl
al	alındı	6	Perf	0	obj_obl
al	almayacağı	10	Perf	0	obl
al	almak	5	Perf	0	obj_obl
al	alıyor	6	Prog	1	nsubj_obj
al	alınıyor	8	Prog	1	obj_obj_obj_obl
al	alamıyor	8	Prog	1	nsubj_obj
al	alınıyor	8	Prog	1	obl_obl
al	aldırmıyorlar	13	Prog	1	nsubj_obl
al	alınıyor	8	Prog	1	nsubj_obl
al	alıyordu	8	Prog	1	nsubj_obj_obl
al	alıyordunuz	11	Prog	1	obj_obl
al	alıyordum	9	Prog	1	obl
anla	anlayabilir	11	Imp	1	nsubj_obj
anla	anlamam	7	Imp	1	obl
