LEMMA	WORD_FORM	CHAR_NUMBER	ASPECT	DEFAULT	SYNT-WITH-ADJUNCTS
έχω	έχω	3	Imp	0	obj
έχω	έχουμε	6	Imp	0	obj
έχω	έχει	4	Imp	0	advmod_advmod_nsubj_obj
έχω	είχαμε	6	Imp	0	advcl_advmod_advmod_obj
έχω	έχουν	5	Imp	0	advmod_advmod_nsubj_obj
έχω	έχουν	5	Imp	0	advmod_nsubj_obj
έχω	έχουμε	6	Imp	0	advmod_obj_obl
έχω	έχουμε	6	Imp	0	advmod_obj
έχω	έχει	4	Imp	0	nsubj_obj
έχω	έχουν	5	Imp	0	obj_obl
έχω	είχε	4	Imp	0	nsubj_obj
έχω	έχουν	5	Imp	0	nsubj_obj
έχω	έχουν	5	Imp	0	advcl
έχω	έχει	4	Imp	0	advcl_advmod_obj
έχω	έχει	4	Imp	0	nsubj_obj
έχω	έχουν	5	Imp	0	nsubj_obj
έχω	έχουν	5	Imp	0	nsubj_obj_obl
έχω	έχουν	5	Imp	0	nsubj_obj_xcomp
έχω	έχει	4	Imp	0	obj
έχω	έχει	4	Imp	0	nsubj_obj_xcomp
έχω	έχω	3	Imp	0	obj_obl
έχω	έχει	4	Imp	0	advmod_csubj_obj
έχω	έχει	4	Imp	0	advmod_nsubj_obj_obl
έχω	είχε	4	Imp	0	advmod_nsubj_obj
έχω	έχει	4	Imp	0	nsubj_obj
έχω	είχαμε	6	Imp	0	advmod_advmod_obj_obl
έχω	έχει	4	Imp	0	xcomp
έχω	έχει	4	Imp	0	nsubj_obj_xcomp
έχω	έχουμε	6	Imp	0	advmod_obj
έχω	έχουμε	6	Imp	0	obj_obl
έχω	έχουν	5	Imp	0	obj_obl
έχω	έχει	4	Imp	0	nsubj_obj
έχω	έχω	3	Imp	0	obj_obl
έχω	έχουν	5	Imp	0	advcl_nsubj_obj
έχω	έχουν	5	Imp	0	advcl_nsubj_obj
έχω	έχουμε	6	Imp	0	advmod_obj_obl_obl
έχω	έχει	4	Imp	0	nsubj_obj
έχω	είχα	4	Imp	0	obj_obl_obl
έχω	έχουν	5	Imp	0	nsubj_obl_xcomp
έχω	έχει	4	Imp	0	nsubj_obj
έχω	έχει	4	Imp	0	advcl_advmod_nsubj_obj_obl
έχω	έχει	4	Imp	0	advmod_csubj_obj
έχω	έχει	4	Imp	0	obj
έχω	είχαν	5	Imp	0	xcomp
έχω	έχει	4	Imp	0	advmod_nsubj_obj_obl
έχω	έχει	4	Imp	0	nsubj_obj
έχω	έχουν	5	Imp	0	advmod_nsubj_obj
έχω	είχε	4	Imp	0	nsubj_obj
έχω	έχουν	5	Imp	0	nsubj_obj
έχω	είχαμε	6	Imp	0	advcl_advmod_advmod_obj
έχω	έχετε	5	Imp	0	advmod_nsubj_obj
έχω	έχουμε	6	Imp	0	nsubj_obj_obl
έχω	έχετε	5	Imp	0	obj
έχω	είχε	4	Imp	0	nsubj_obj
έχω	έχουν	5	Imp	0	nsubj_obj
έχω	έχει	4	Imp	0	obj
έχω	έχει	4	Imp	0	nsubj_obj_obl
έχω	είχε	4	Imp	0	advmod_nsubj_obj
έχω	έχουν	5	Imp	0	nsubj_obj_obl_obl
έχω	έχει	4	Imp	0	advmod_nsubj_obj_obl
έχω	έχουμε	6	Imp	0	advcl_obj
έχω	έχουν	5	Imp	0	obj
έχω	έχει	4	Imp	0	nsubj_obj
έχω	είχε	4	Imp	0	obj
έχω	έχουν	5	Imp	0	advmod_nsubj_obj
έχω	έχει	4	Imp	0	nsubj_obj
έχω	έχει	4	Imp	0	advcl_nsubj_obj
έχω	έχει	4	Imp	0	advmod_nsubj_obj
έχω	έχουν	5	Imp	0	nsubj_obj
έχω	έχει	4	Imp	0	advmod_nsubj_obj
έχω	έχουμε	6	Imp	0	obj
έχω	έχουν	5	Imp	0	obj
έχω	έχουν	5	Imp	0	nsubj_obj
έχω	έχουμε	6	Imp	0	obj
έχω	έχουν	5	Imp	0	nsubj_obj_obl
έχω	έχουν	5	Imp	0	advmod_nsubj_obj
έχω	έχουν	5	Imp	0	nsubj_obj_obl
έχω	έχουμε	6	Imp	0	obj_obl
έχω	είχε	4	Imp	0	advmod_advmod_nsubj_obl_xcomp
έχω	έχει	4	Imp	0	advmod_nsubj_obj
έχω	έχει	4	Imp	0	nsubj_xcomp_xcomp
έχω	έχουν	5	Imp	0	nsubj_obj
έχω	έχει	4	Imp	0	nsubj_obj_obl
έχω	έχουμε	6	Imp	0	advmod_obj
έχω	έχει	4	Imp	0	advcl_advmod_nsubj_obj
έχω	είχαν	5	Imp	0	nsubj_obl_xcomp
έχω	είχε	4	Imp	0	advmod_advmod_nsubj_obj
έχω	έχω	3	Imp	0	advcl_xcomp
έχω	έχουμε	6	Imp	0	obj
έχω	έχουν	5	Imp	0	advmod_nsubj_obj
έχω	έχουν	5	Imp	0	nsubj_obj
έχω	έχουν	5	Imp	0	advcl_advmod_nsubj_obj
έχω	είχε	4	Imp	0	advmod_nsubj_obj_obl
έχω	είχαν	5	Imp	0	nsubj_obj
έχω	έχοντας	7	Imp	0	xcomp
έχω	έχει	4	Imp	0	obj
έχω	έχουν	5	Imp	0	nsubj_obj
έχω	έχουν	5	Imp	0	obj_obl
έχω	έχει	4	Imp	0	obj
έχω	έχουν	5	Imp	0	nsubj_obj
έχω	είχαν	5	Imp	0	nsubj_obj_xcomp
έχω	είχαν	5	Imp	0	advmod_nsubj_obj
έχω	έχουν	5	Imp	0	advcl_nsubj_obj
έχω	έχετε	5	Imp	0	obj
έχω	έχουμε	6	Imp	0	obj
έχω	έχω	3	Imp	0	xcomp
έχω	έχουμε	6	Imp	0	xcomp
έχω	έχουμε	6	Imp	0	advmod_obj
έχω	είχε	4	Imp	0	xcomp
έχω	έχει	4	Imp	0	advmod_obj
έχω	έχουν	5	Imp	0	obj
έχω	έχει	4	Imp	0	obj
έχω	είχε	4	Imp	0	nsubj_obl
έχω	είχε	4	Imp	0	nsubj_obj_obl_obl_obl
έχω	έχουμε	6	Imp	0	advcl_advcl_obj
έχω	έχουν	5	Imp	0	nsubj_obj_obl
έχω	είχαν	5	Imp	0	nsubj_obj
έχω	έχουν	5	Imp	0	advcl_obj_obl
έχω	είχαμε	6	Imp	0	advmod_obj_obl
έχω	έχουμε	6	Imp	0	advmod_obj
έχω	έχει	4	Imp	0	advmod_obj_obl
έχω	έχουμε	6	Imp	0	advcl_advmod_obj_obl
έχω	έχει	4	Imp	0	nsubj_obl_xcomp
έχω	είχαμε	6	Imp	0	advmod_obj
έχω	είχε	4	Imp	0	nsubj_obj
έχω	έχουν	5	Imp	0	obj
έχω	έχει	4	Imp	0	advmod_nsubj_obj_xcomp
έχω	έχουν	5	Imp	0	advmod_nsubj_obj_obl
έχω	είχε	4	Imp	0	advmod_nsubj_obj_obl
έχω	είχε	4	Imp	0	xcomp
έχω	είχε	4	Imp	0	obj_obl
έχω	είχε	4	Imp	0	obj
έχω	έχετε	5	Imp	0	obj
έχω	έχουμε	6	Imp	0	advmod_obj
έχω	είχε	4	Imp	0	nsubj_obl
έχω	έχει	4	Imp	0	nsubj_obj_obl
έχω	έχουν	5	Imp	0	nsubj_obj
έχω	έχοντας	7	Imp	0	advmod_obj
έχω	έχει	4	Imp	0	nsubj_obj_obl
έχω	έχει	4	Imp	0	nsubj_obj
έχω	έχει	4	Imp	0	advmod_nsubj_obj
έχω	έχει	4	Imp	0	advcl_advmod_advmod_nsubj_obj
έχω	έχουν	5	Imp	0	obj
έχω	έχει	4	Imp	0	advmod_nsubj_obj
έχω	έχουν	5	Imp	0	nsubj_obj
έχω	έχουν	5	Imp	0	nsubj_obj_obl
έχω	είχε	4	Imp	0	advmod_nsubj_xcomp
έχω	είχε	4	Imp	0	obj_obl_obl_obl
έχω	είχαν	5	Imp	0	obj
έχω	είχαν	5	Imp	0	nsubj_obj_obl
έχω	είχα	4	Imp	0	obj_obl
έχω	έχουν	5	Imp	0	nsubj_obj_obl
έχω	έχει	4	Imp	0	advmod_nsubj_obj
έχω	έχουμε	6	Imp	0	obj_obl
έχω	έχει	4	Imp	0	nsubj_obj
έχω	έχει	4	Imp	0	nsubj_obj_xcomp
έχω	είχαν	5	Perf	1	nsubj_xcomp
έχω	είχε	4	Perf	1	advmod_nsubj_obj
έχω	είχε	4	Perf	1	advmod_nsubj_obj
έχω	είχε	4	Perf	1	nsubj_obj
έχω	είχαν	5	Perf	1	obj
ανακοινώνω	ανακοινώνουν	12	Imp	1	advmod_nsubj
ανακοινώνω	ανακοίνωσαν	11	Perf	0	ccomp_nsubj
ανακοινώνω	ανακοίνωσε	10	Perf	0	advmod_nsubj
ανακοινώνω	ανακοίνωσαν	11	Perf	0	advcl_ccomp_obl
ανακοινώνω	ανακοινώθηκε	12	Perf	0	advmod_advmod_nsubj_obl
ανακοινώνω	ανακοίνωσε	10	Perf	0	ccomp_nsubj
ανακοινώνω	ανακοίνωσε	10	Perf	0	nsubj_obj
ανακοινώνω	ανακοίνωσε	10	Perf	0	nsubj_obj
ανακοινώνω	ανακοινώσει	11	Perf	0	nsubj_obj_obl
ανακοινώνω	ανακοίνωσε	10	Perf	0	advmod_ccomp_nsubj
ανακοινώνω	ανακοίνωσε	10	Perf	0	ccomp_nsubj
ανακοινώνω	ανακοίνωσε	10	Perf	0	ccomp_nsubj_obl
ανακοινώνω	ανακοίνωσε	10	Perf	0	ccomp_nsubj
ανακοινώνω	ανακοινώθηκαν	13	Perf	0	nsubj_obl_obl
ανακοινώνω	ανακοίνωσε	10	Perf	0	advmod_nsubj_obj
ανακοινώνω	ανακοίνωσε	10	Perf	0	advmod_nsubj_obj_obl_obl:arg
ανακοινώνω	ανακοίνωσε	10	Perf	0	ccomp_nsubj
ανακοινώνω	ανακοίνωσε	10	Perf	0	ccomp_nsubj
ανακοινώνω	ανακοινωθούν	12	Perf	0	nsubj_obl
αποτελώ	αποτελεί	8	Imp	0	obj
αποτελώ	αποτελούσε	10	Imp	0	nsubj_obj_obl_obl
αποτελώ	αποτελεί	8	Imp	0	obj
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj_obl
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	advmod_nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj_obl
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj
αποτελώ	αποτελούσε	10	Imp	0	nsubj_obj_obl
αποτελώ	αποτελεί	8	Imp	0	advmod_advmod_nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj
αποτελώ	αποτελώντας	11	Imp	0	obj
αποτελώ	αποτελούσε	10	Imp	0	nsubj_obj_obl
αποτελώ	αποτελεί	8	Imp	0	advcl_nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	obj
αποτελώ	αποτελούν	9	Imp	0	advmod_nsubj_obj
αποτελώ	αποτελούν	9	Imp	0	obj
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj
αποτελώ	αποτελούν	9	Imp	0	nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	advmod_nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	advmod_nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj
αποτελώ	αποτελούν	9	Imp	0	advcl_nsubj_obj_obl
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj
αποτελώ	αποτελούν	9	Imp	0	advmod_nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	obj_obl
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj
αποτελώ	αποτελούσε	10	Imp	0	nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	obj
αποτελώ	αποτελεί	8	Imp	0	obj_obl
αποτελώ	αποτελούν	9	Imp	0	advmod_obj_obl
αποτελώ	αποτελεί	8	Imp	0	advmod_advmod_nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	advmod_nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj
αποτελώ	αποτελούν	9	Imp	0	nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	advmod_nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	advmod_nsubj_obj_obl
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj
αποτελώ	αποτελούσε	10	Imp	0	nsubj_obj
αποτελώ	αποτελούσε	10	Imp	0	advmod_nsubj_obj_obl
αποτελώ	αποτελούσε	10	Imp	0	advcl_nsubj_obj
αποτελώ	αποτελούσαν	11	Imp	0	nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj
αποτελώ	αποτελούσαν	11	Imp	0	advmod_obj
αποτελώ	αποτελούσε	10	Imp	0	obj_obl
αποτελώ	αποτελούσε	10	Imp	0	nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	advcl_nsubj_obj_obl_obl
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	obj
αποτελώ	αποτελούν	9	Imp	0	nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	advcl_nsubj_obj
αποτελώ	αποτελούν	9	Imp	0	nsubj_obj_obl
αποτελώ	αποτελούν	9	Imp	0	advmod_nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj_obl_obl
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj_obl
αποτελώ	αποτελεί	8	Imp	0	advcl_nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj_obl
αποτελώ	αποτελεί	8	Imp	0	advcl_nsubj_obj
αποτελώ	αποτελούν	9	Imp	0	nsubj_obj
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj
αποτελώ	αποτελείται	11	Imp	0	nsubj_obl
αποτελώ	αποτελεί	8	Imp	0	nsubj_obj
αποτελώ	αποτελούν	9	Imp	0	advmod_nsubj_obj
αποτελώ	αποτελέσει	10	Perf	1	nsubj_obj
αποτελώ	αποτελέσουν	11	Perf	1	obj_obl_obl
αποτελώ	αποτελέσει	10	Perf	1	nsubj_obj_obl
αποτελώ	αποτέλεσε	9	Perf	1	obj_obl
αποτελώ	αποτέλεσε	9	Perf	1	nsubj_obj
αποτελώ	αποτελέσουν	11	Perf	1	nsubj_obj
αποτελώ	αποτελέσει	10	Perf	1	obj
αποτελώ	αποτελέσει	10	Perf	1	advmod_nsubj_obj_obl
αποτελώ	αποτελέσει	10	Perf	1	obj
αποτελώ	αποτελέσει	10	Perf	1	advmod_nsubj_obj_obl
αποτελώ	αποτελούσαν	11	Perf	1	nsubj_obj
αποτελώ	αποτελέσει	10	Perf	1	advmod_nsubj_obj_obl
αποτελώ	αποτέλεσε	9	Perf	1	advcl_obj_obl
αποτελώ	αποτέλεσε	9	Perf	1	obj
αποτελώ	αποτελέσει	10	Perf	1	nsubj_obj_obl
αποτελώ	αποτελέσει	10	Perf	1	obj
αποτελώ	αποτέλεσε	9	Perf	1	nsubj_obj
αποτελώ	αποτέλεσε	9	Perf	1	obj
αποτελώ	αποτελέσει	10	Perf	1	nsubj_obj_obl
αποφασίζω	αποφασίζει	10	Imp	1	advcl_nsubj_obl_xcomp
αποφασίζω	αποφασίζει	10	Imp	1	nsubj_obj
αποφασίζω	αποφασίσετε	11	Perf	0	ccomp
αποφασίζω	αποφασίσει	10	Perf	0	obj
αποφασίζω	αποφάσισε	9	Perf	0	ccomp_nsubj
αποφασίζω	αποφασίσουμε	12	Perf	0	ccomp
αποφασίζω	αποφασίσουν	11	Perf	0	advcl_ccomp
αποφασίζω	αποφασιστεί	11	Perf	0	nsubj_obl
αποφασίζω	αποφάσισε	9	Perf	0	advmod_ccomp_nsubj
αποφασίζω	αποφάσισε	9	Perf	0	ccomp_nsubj_obl
αποφασίζω	αποφάσισε	9	Perf	0	advmod_advmod_ccomp_nsubj_obl_obl
αποφασίζω	αποφάσισε	9	Perf	0	obj
αποφασίζω	αποφασίσαμε	11	Perf	0	ccomp_obl
αποφασίζω	αποφάσισαν	10	Perf	0	ccomp_nsubj
αποφασίζω	αποφασίσουμε	12	Perf	0	obl
αποφασίζω	αποφάσισαν	10	Perf	0	advcl_ccomp_nsubj_obl
αποφασίζω	αποφασίστηκαν	13	Perf	0	advcl_nsubj_obl
αρχίζω	αρχίζει	7	Imp	1	advcl_nsubj_obl
αρχίζω	αρχίζει	7	Imp	1	nsubj_obl
αρχίζω	αρχίσαμε	8	Perf	0	xcomp
αρχίζω	αρχίσει	7	Perf	0	xcomp
αρχίζω	άρχισαν	7	Perf	0	xcomp
αρχίζω	αρχίσει	7	Perf	0	nsubj
αρχίζω	άρχισε	6	Perf	0	nsubj_obl_xcomp
αρχίζω	άρχισαν	7	Perf	0	advcl_advmod_nsubj_xcomp
αρχίζω	άρχισαν	7	Perf	0	advmod_advmod_nsubj_obl_xcomp
αρχίζω	άρχισε	6	Perf	0	advmod_nsubj_obl
αρχίζω	άρχισε	6	Perf	0	csubj_obl
αρχίζω	αρχίσει	7	Perf	0	advmod_nsubj_obj
αρχίζω	άρχισαν	7	Perf	0	nsubj_obl_obl_obl
αρχίζω	αρχίσει	7	Perf	0	nsubj
αρχίζω	άρχισαν	7	Perf	0	nsubj_obl_xcomp
αρχίζω	άρχισε	6	Perf	0	nsubj_xcomp
αρχίζω	αρχίσει	7	Perf	0	nsubj_xcomp
αρχίζω	άρχισε	6	Perf	0	nsubj_obl_obl_obl
αρχίζω	άρχισε	6	Perf	0	xcomp
αρχίζω	αρχίσει	7	Perf	0	nsubj_obl
αφήνω	αφήνουν	7	Imp	1	advcl_advmod_advmod_nsubj_obj_xcomp
αφήνω	αφήνοντας	9	Imp	1	advmod_obj_obl
αφήνω	αφήνει	6	Imp	1	nsubj_obj
αφήνω	αφήνει	6	Imp	1	nsubj_obj_obl
αφήνω	αφήνει	6	Imp	1	advmod_obj_obl_obl:arg
αφήνω	αφήνοντας	9	Imp	1	advmod_obj_obl:arg
αφήνω	αφέθηκε	7	Perf	0	obl_obl
αφήνω	αφήσουν	7	Perf	0	obj
αφήνω	αφήσαμε	7	Perf	0	advcl_obj_obl_obl:arg
αφήνω	αφέθηκε	7	Perf	0	obl_xcomp
αφήνω	αφέθηκαν	8	Perf	0	nsubj_obl_xcomp
αφήνω	αφήσει	6	Perf	0	ccomp_nsubj
αφήνω	αφήσουν	7	Perf	0	advmod_obj_xcomp
αφήνω	αφέθηκε	7	Perf	0	nsubj_obl_xcomp
αφήνω	άφησε	5	Perf	0	advmod_nsubj_obj
αφήνω	αφέθηκαν	8	Perf	0	advmod_nsubj_obl_xcomp
αφήνω	αφέθηκαν	8	Perf	0	nsubj_obl_xcomp
βελτιώνω	βελτιώνεται	11	Imp	1	nsubj
βελτιώνω	βελτιώνει	9	Imp	1	nsubj_obl
βελτιώνω	βελτιωθεί	9	Perf	0	nsubj
βελτιώνω	βελτιώσει	9	Perf	0	obj_obl
βελτιώνω	βελτιώσουμε	11	Perf	0	obj
βελτιώνω	βελτιωθεί	9	Perf	0	advmod_nsubj_obl
