LEMMA	WORD_FORM	CHAR_NUMBER	ASPECT	DEFAULT	SYNT-WITH-ADJUNCTS
accipio1	accipiebat	10	Imp	1	nsubj_obj_obl
accipio1	acceperit	9	Perf	0	advmod_obj
accipio1	accepit	7	Perf	0	obj
accipio1	accepit	7	Perf	0	obj
accipio1	accepit	7	Perf	0	obj
accipio1	accepi	6	Perf	0	obj
accipio1	accepi	6	Perf	0	nsubj_obl
accipio1	accepit	7	Perf	0	obl
accipio1	acceperit	9	Perf	0	nsubj_obj
dico2	dicebat	7	Imp	1	advcl_nsubj_xcomp
dico2	diceret	7	Imp	1	advmod_obj_obl
dico2	diceret	7	Imp	1	ccomp_obl
dico2	dicebat	7	Imp	1	obj
dico2	dicebat	7	Imp	1	obl
dico2	diceret	7	Imp	1	advmod_nsubj_obj_obl
dico2	dicebant	8	Imp	1	nsubj
dico2	diceret	7	Imp	1	nsubj_nsubj_xcomp
dico2	dicebant	8	Imp	1	nsubj_obj
dico2	diceretur	9	Imp	1	xcomp
dico2	dicebat	7	Imp	1	advcl_advmod_xcomp_xcomp
dico2	dicerem	7	Imp	1	advcl_advmod_obj
dico2	dicebas	7	Imp	1	ccomp_nsubj
dico2	dicebat	7	Imp	1	ccomp
dico2	dicebantur	10	Imp	1	advcl_nsubj
dico2	dicebatur	9	Imp	1	nsubj_xcomp
dico2	dictus	6	Perf	0	xcomp
dico2	dixerunt	8	Perf	0	advmod_advmod_nsubj_obj_xcomp
dico2	dixisse	7	Perf	0	obj_obj
dico2	dixerunt	8	Perf	0	advmod_ccomp
dico2	dixit	5	Perf	0	advcl_ccomp
dico2	dixit	5	Perf	0	iobj_nsubj_obj_obj
dico2	dixit	5	Perf	0	obj
dico2	dixit	5	Perf	0	nsubj_obj
dico2	dixi	4	Perf	0	ccomp
dico2	dixero	6	Perf	0	obj
dico2	dixit	5	Perf	0	advmod_advmod_nsubj_obj
dico2	dixit	5	Perf	0	ccomp_iobj_nsubj_obl
dico2	dixit	5	Perf	0	nsubj_obj
dico2	dixit	5	Perf	0	nsubj_obj
dico2	dixerim	7	Perf	0	advmod_iobj_obj
dico2	dixisti	7	Perf	0	iobj_obj_obl
dico2	dixit	5	Perf	0	iobj_nsubj_obj
dico2	dixerim	7	Perf	0	ccomp
dico2	dixit	5	Perf	0	nsubj_obj
dico2	dixit	5	Perf	0	advmod_advmod_nsubj
dico2	dixit	5	Perf	0	advcl_advmod_obj
dico2	dixit	5	Perf	0	obj
dico2	dixit	5	Perf	0	nsubj_obj
dico2	dicit	5	Perf	0	obj
dico2	dixerunt	8	Perf	0	advmod
dico2	dixit	5	Perf	0	obj
dico2	dixit	5	Perf	0	obj
dico2	dixit	5	Perf	0	ccomp_nsubj
dico2	dixi	4	Perf	0	advmod
dico2	dixerit	7	Perf	0	nsubj_obj
dico2	diximus	7	Perf	0	advmod
dico2	dictum	6	Perf	0	advmod_obl
dico2	dixit	5	Perf	0	obj
dico2	dixit	5	Perf	0	advcl_advmod_ccomp_nsubj
dico2	diximus	7	Perf	0	advmod_obj
dico2	dixit	5	Perf	0	obj
do	daret	5	Imp	1	iobj_obj
do	daretur	7	Imp	1	nsubj_obj
do	dedit	5	Perf	0	obj_obj
do	dedit	5	Perf	0	advcl_iobj_obj
do	data	4	Perf	0	nsubj
do	dederit	7	Perf	0	nsubj_obj
do	dedit	5	Perf	0	advcl_advmod_iobj_obj
do	dedit	5	Perf	0	advcl_advmod_advmod_obj
do	dedi	4	Perf	0	advmod_advmod_nsubj_obj_obj
do	data	4	Perf	0	advmod_iobj_obl
do	data	4	Perf	0	obl
do	dedit	5	Perf	0	advcl_advmod_advmod_advmod_obj
do	dedit	5	Perf	0	advmod_iobj_obj_obl
do	dedit	5	Perf	0	iobj_nsubj_obj
do1	dabat	5	Imp	1	advcl_advmod_nsubj_xcomp
do1	darent	6	Imp	1	iobj_obj
do1	dabam	5	Imp	1	advmod_iobj_obj
do1	daret	5	Imp	1	obj
do1	darent	6	Imp	1	advcl_nsubj_obj
do1	dedit	5	Perf	0	obj
do1	dedimus	7	Perf	0	obj
do1	dedi	4	Perf	0	ccomp_obj
do1	dato	4	Perf	0	nsubj
do1	dedere	6	Perf	0	obj_obl
do1	dederunt	8	Perf	0	advmod_nsubj_obj
do1	dedit	5	Perf	0	nsubj_obj_obl
do1	dederis	7	Perf	0	obj
do1	dedit	5	Perf	0	advcl_advmod_advmod_iobj_obj
do1	dedit	5	Perf	0	iobj_obj
do1	dedimus	7	Perf	0	advcl_iobj_nsubj_obj
do1	dedi	4	Perf	0	advcl_advmod_iobj_obj
do1	datis	5	Perf	0	nsubj
do1	dederis	7	Perf	0	obj
do1	dedit	5	Perf	0	advmod_iobj_nsubj_obj
do1	dedit	5	Perf	0	advmod_nsubj_obj
facio	faceret	7	Imp	1	advmod_iobj_obj
facio	feci	4	Perf	0	advcl_advmod_advmod_nsubj_obj
facio	fecisti	7	Perf	0	advmod_obj
facio	fecerit	7	Perf	0	nsubj
facio	fecerim	7	Perf	0	obj
facio	feci	4	Perf	0	nsubj_obj
facio	feci	4	Perf	0	nsubj_obj
facio	fecerunt	8	Perf	0	advmod_advmod_advmod_nsubj_obj_obl
facio	fecit	5	Perf	0	advmod_advmod_nsubj_obj_obl
facio	facto	5	Perf	0	nsubj
facio	fecit	5	Perf	0	advcl_advmod_advmod_iobj_obj
facio	feceritis	9	Perf	0	advmod_nsubj
facio	fecit	5	Perf	0	advmod_iobj_obj
facio	facta	5	Perf	0	advmod
facio	feceris	7	Perf	0	obj
facio	facta	5	Perf	0	advmod
facio1	faciebat	8	Imp	1	nsubj_obj
facio1	faceret	7	Imp	1	obj_xcomp
facio1	faceret	7	Imp	1	advmod_obj_xcomp
facio1	faciebas	8	Imp	1	advmod_advmod_obj
facio1	faceret	7	Imp	1	obj
facio1	faceret	7	Imp	1	advmod_advmod_xcomp
facio1	faceret	7	Imp	1	obj_xcomp
facio1	factis	6	Perf	0	obl
facio1	fecerunt	8	Perf	0	nsubj_obj_obl
facio1	fecerit	7	Perf	0	obj
facio1	fecit	5	Perf	0	advmod_iobj_nsubj_obj
facio1	facto	5	Perf	0	nsubj
facio1	factus	6	Perf	0	advmod_nsubj_xcomp
facio1	fecit	5	Perf	0	advmod_nsubj_obj_obl
facio1	fecit	5	Perf	0	obj
