LEMMA	WORD_FORM	CHAR_NUMBER	ASPECT	DEFAULT	SYNT-WITH-ADJUNCTS
أَبدَى	تبدي	4	Imp	1	nsubj_obj
أَبدَى	يبدون	5	Imp	1	obj
أَبدَى	يبد	3	Imp	1	advmod_nsubj_obj
أَبدَى	يبدي	4	Imp	1	iobj_nsubj_obj
أَبدَى	ابدى	4	Perf	0	nsubj_obj
أَبدَى	أبدت	4	Perf	0	nsubj_obj
أَبدَى	أبدى	4	Perf	0	nsubj_obj
أَبدَى	ابدت	4	Perf	0	nsubj_obj
أَبدَى	أبدى	4	Perf	0	nsubj_obj_obl
أَبدَى	أبدت	4	Perf	0	nsubj_obj
أَبدَى	أبدى	4	Perf	0	nsubj_obj
أَبدَى	أبدى	4	Perf	0	obj
أَبدَى	أبدى	4	Perf	0	nsubj_obj_obl
أَبدَى	ابدت	4	Perf	0	obj_obl
أَبدَى	أبدى	4	Perf	0	obj
أَبدَى	ابدى	4	Perf	0	advmod_nsubj_obj
أَبدَى	أبدى	4	Perf	0	obj
أَبدَى	أبدى	4	Perf	0	nsubj_obj
أَبدَى	أبدى	4	Perf	0	nsubj_obj
أَبدَى	أبدى	4	Perf	0	obj
أَبدَى	أبدى	4	Perf	0	nsubj_obj
أَبدَى	أبدت	4	Perf	0	iobj_nsubj_obj
أَبدَى	أبدى	4	Perf	0	nsubj_obj_obl
أَبدَى	أبدت	4	Perf	0	obj_obl
أَبدَى	ابدوا	5	Perf	0	nsubj_obj
أَبدَى	ابدت	4	Perf	0	nsubj_obj
أَبلَغ	تبلغ	4	Imp	1	ccomp_iobj
أَبلَغ	تبلغ	4	Imp	1	iobj_nsubj_obj
أَبلَغ	تبلغ	4	Imp	1	advmod_advmod_nsubj_obj_obl
أَبلَغ	يبلغ	4	Imp	1	advcl_nsubj_obj_obj
أَبلَغ	أبلغ	4	Perf	0	ccomp_iobj_nsubj
أَبلَغ	أبلغ	4	Perf	0	obj
أَبلَغ	أبلغــــت	9	Perf	0	iobj_nsubj_obj_obl
